Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID,keywords_cleaned,Main Domain
Challa N.P.; Ranjana R.; Chakravarthi S.S.; Rao N.K.,"Challa, Nagendra Panini (57200286118); Ranjana, R. (56230106700); Chakravarthi, S Sreenivasa (59397816600); Rao, Narendra Kumar (55578189400)",57200286118; 56230106700; 59397816600; 55578189400,Virtual Alphabet Recognition using Deep Convolution Neural Networks,2022,"4th International Conference on Inventive Research in Computing Applications, ICIRCA 2022 - Proceedings",,,,1235,1238,3,7,10.1109/ICIRCA54612.2022.9985554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146490356&doi=10.1109%2fICIRCA54612.2022.9985554&partnerID=40&md5=a64acaa2148691c7fd75053cf4ffcd45,Air writing recognition; convolutional neural network (CNN); isolated writing; object tracking; OpenCV,Conference paper,Final,,Scopus,2-s2.0-85146490356,"air writing recognition, convolutional neural network (cnn), isolated writing, object tracking, opencv",AI
Roshith M.; Pathak A.; Nanda Kumar A.K.; Anantharaj G.; Saranyan V.; Ramasubramanian S.; Satheesh Babu T.G.; Ravi Kumar D.V.,"Roshith, M. (57191273856); Pathak, Abhishek (59036228700); Nanda Kumar, A.K. (13002805200); Anantharaj, Gopalraman (57212413828); Saranyan, Vijayaraghavan (37119442600); Ramasubramanian, S. (57191646972); Satheesh Babu, T.G. (57213143956); Ravi Kumar, Darbha V. (6507432909)",57191273856; 59036228700; 13002805200; 57212413828; 37119442600; 57191646972; 57213143956; 6507432909,Continuous flow solar photocatalytic disinfection of E. coli using red phosphorus immobilized capillaries as optofluidic reactors,2021,Applied Surface Science,540,,148398,,,,12,10.1016/j.apsusc.2020.148398,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095916416&doi=10.1016%2fj.apsusc.2020.148398&partnerID=40&md5=be54dc03e26c84e2c666938482cbba79,Continuous flow; Optofluidic reactor; Photocatalyst immobilization; Photocatalytic disinfection; Red phosphorus; Solar water disinfection (SODIS),Article,Final,,Scopus,2-s2.0-85095916416,"continuous flow, optofluidic reactor, photocatalyst immobilization, photocatalytic disinfection, red phosphorus, solar water disinfection (sodis)",Others
Subramanian M.; Diviya M.; Kaliappan S.; Deepak A.; Saxena K.A.; Hasan N.,"Subramanian, M. (57243514300); Diviya, M. (57191361356); Kaliappan, S. (57189892434); Deepak, A. (57210350224); Saxena, Kuldeep A. (34974741700); Hasan, Nasim (57409957400)",57243514300; 57191361356; 57189892434; 57210350224; 34974741700; 57409957400,Impact of Fiber Buildup Stacking Sequence on Thermo-Mechanical Behaviour of Natural Fiber-Reinforced Anamide Composites,2022,International Journal of Polymer Science,2022,,9634929,,,,8,10.1155/2022/9634929,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142428875&doi=10.1155%2f2022%2f9634929&partnerID=40&md5=3da8c3d33dd5839165a07d5ac766110c,,Article,Final,,Scopus,2-s2.0-85142428875,,Materials Science
Rao N.K.; Challa N.P.; Chakravarthi S.S.; Ranjana R.,"Rao, Narendra Kumar (55578189400); Challa, Nagendra Panini (57200286118); Chakravarthi, S Sreenivasa (59397816600); Ranjana, R. (56230106700)",55578189400; 57200286118; 59397816600; 56230106700,Movie Recommendation System using Machine Learning,2022,"4th International Conference on Inventive Research in Computing Applications, ICIRCA 2022 - Proceedings",,,,711,716,5,14,10.1109/ICIRCA54612.2022.9985512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146497385&doi=10.1109%2fICIRCA54612.2022.9985512&partnerID=40&md5=55e33eb2b4ee57dbadc627246a98366d,Collaborative based filtering; content-based filtering; Demographic filtering; Machine Learning; recommendation system (RS),Conference paper,Final,,Scopus,2-s2.0-85146497385,"collaborative based filtering, content-based filtering, demographic filtering, machine learning, recommendation system (rs)",Machine Learning
Sathishkumar M.; Vignesh M.; Sreenivasulu V.; Rao M.N.; Arivazhagan N.; Manikandan M.,"Sathishkumar, M. (55765410800); Vignesh, M. (56324289800); Sreenivasulu, V. (57222097656); Rao, M. Nageswara (22942236000); Arivazhagan, N. (14053512200); Manikandan, M. (57219167131)",55765410800; 56324289800; 57222097656; 22942236000; 14053512200; 57219167131,Hot corrosion characteristics of HVOF-sprayed Cr3C2-25NiCr protective coating on Ni-based superalloys,2021,Thermal Spray Coatings,,,,209,228,19,3,10.1201/9781003213185-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004251867&doi=10.1201%2f9781003213185-8&partnerID=40&md5=76cec5666d47cf85d25ede35f34f71b0,,Book chapter,Final,,Scopus,2-s2.0-105004251867,,Materials Science
Jebadas D.G.; Sivaram M.; M A.; Vidhyasagar B.S.; Kannan B.B.,"Jebadas, D. Gnana (57346554000); Sivaram, M. (55220262500); M, Arvindhan (57346393400); Vidhyasagar, B.S. (58702067700); Kannan, B. Bharathi (57219443399)",57346554000; 55220262500; 57346393400; 58702067700; 57219443399,Histogram Distance Metric Learning to Diagnose Breast Cancer using Semantic Analysis and Natural Language Interpretation Methods,2022,EAI/Springer Innovations in Communication and Computing,,,,249,259,10,4,10.1007/978-3-030-75945-2_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119402689&doi=10.1007%2f978-3-030-75945-2_13&partnerID=40&md5=3d20efd283d28b920c2534e229acf2b2,Artificial neural network; Brest cancer; Genetic algorithm; Multi-hop; Natural language generation,Book chapter,Final,,Scopus,2-s2.0-85119402689,"artificial neural network, brest cancer, genetic algorithm, multi-hop, natural language generation",AI
Vignesh T.; Kanimozhi K.V.; Sathish R.; Kumar R.P.; Jeyavathana R.B.; Ezhumalai P.,"Vignesh, T. (36464321600); Kanimozhi, K.V. (57194613072); Sathish, R. (57195935278); Kumar, R. Prasanna (58196810600); Jeyavathana, R. Beaulah (58093749800); Ezhumalai, P. (37101472200)",36464321600; 57194613072; 57195935278; 58196810600; 58093749800; 37101472200,Land Use and Land Cover Classification Using Recurrent Neural Networks with Shared Layered Architecture,2022,"2022 International Conference on Computer Communication and Informatics, ICCCI 2022",,,,,,,7,10.1109/ICCCI54379.2022.9740839,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128738370&doi=10.1109%2fICCCI54379.2022.9740839&partnerID=40&md5=b51db82908b1e7de6c93538cf7b9e10b,Face; Finger; Iris; K-Nearest Neighbor algorithms (KNN); Support Vector Machine(SVM),Conference paper,Final,,Scopus,2-s2.0-85128738370,"face, finger, iris, k-nearest neighbor algorithms (knn), support vector machine(svm)",Machine Learning
Ansari A.H.; Jayakumar V.; Madhu S.,"Ansari, A.H. (57639851100); Jayakumar, V. (36548490500); Madhu, S. (56319147000)",57639851100; 36548490500; 56319147000,Wear and Friction Behaviours of Stainless Steel (SS 316) Wire Mesh and Carbon Fibre Reinforced Polymer Composite,2021,Lecture Notes in Mechanical Engineering,,,,361,369,8,1,10.1007/978-981-15-4745-4_32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090517501&doi=10.1007%2f978-981-15-4745-4_32&partnerID=40&md5=77484a3377488bcf093e7b6787210305,Carbon fibre reinforced polymer; Coefficient of friction; Stainless steel 316 wire mesh; Wear rate,Conference paper,Final,,Scopus,2-s2.0-85090517501,"carbon fibre reinforced polymer, coefficient of friction, stainless steel 316 wire mesh, wear rate",Materials Science
Arulmurugan B.; Balaji D.; Rajkumar S.; Kamaraj M.; Mageshwaran V.; Sathishkumar M.; Manikandan M.; Arivazhagan N.,"Arulmurugan, B. (57193651613); Balaji, D. (57205067674); Rajkumar, S. (57211668412); Kamaraj, M. (6603806001); Mageshwaran, V. (57223432523); Sathishkumar, M. (55765410800); Manikandan, M. (57219167131); Arivazhagan, N. (14053512200)",57193651613; 57205067674; 57211668412; 6603806001; 57223432523; 55765410800; 57219167131; 14053512200,Influence of Filler Wire and Welding Process to Mitigate the Microsegregation of Alloy C-2000 Using Continuous and Pulsed Current Gas Tungsten Arc Welding Techniques,2021,Journal of Materials Engineering and Performance,30,8,,6050,6067,17,15,10.1007/s11665-021-05810-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105877982&doi=10.1007%2fs11665-021-05810-4&partnerID=40&md5=549f8d91abf71014d8d50884c3b1d9ab,alloy C-2000; mechanical properties; metallurgical properties; microsegregation; PCGTAW,Article,Final,,Scopus,2-s2.0-85105877982,"alloy c-2000, mechanical properties, metallurgical properties, microsegregation, pcgtaw",Others
Kumar D.; Kumar S.; Sharma J.R.; Jantschi L.,"Kumar, Deepak (57958442700); Kumar, Sunil (57390312100); Sharma, Janak Raj (35091595200); Jantschi, Lorentz (7801517234)",57958442700; 57390312100; 35091595200; 7801517234,Convergence analysis and dynamical nature of an efficient iterative method in banach spaces,2021,Mathematics,9,19,2510,,,,3,10.3390/math9192510,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116612188&doi=10.3390%2fmath9192510&partnerID=40&md5=03b4c86dfbde59b49c9bcc044d21e629,Banach space; Fréchet-derivative; Local convergence; Nonlinear equations,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85116612188,"banach space, fréchet-derivative, local convergence, nonlinear equations",Others
Dwarakanath B.; Latha M.; Annamalai R.; Kallimani J.S.; Walia R.; Belete B.,"Dwarakanath, B. (57202867460); Latha, M. (57195967648); Annamalai, R. (57210211908); Kallimani, Jagadish S. (36634138700); Walia, Ranjan (57201801382); Belete, Birhanu (57919138800)",57202867460; 57195967648; 57210211908; 36634138700; 57201801382; 57919138800,A Novel Feature Selection with Hybrid Deep Learning Based Heart Disease Detection and Classification in the e-Healthcare Environment,2022,Computational Intelligence and Neuroscience,2022,,1167494,,,,10,10.1155/2022/1167494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139734210&doi=10.1155%2f2022%2f1167494&partnerID=40&md5=a95181793974358ba3872ac022ceb736,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85139734210,,Machine Learning
Joseph A.; Sajith V.; Sarathchandran C.,"Joseph, Antony (57209715538); Sajith, V. (16426553800); Sarathchandran, C. (56282558700)",57209715538; 16426553800; 56282558700,Graphene: The magic material,2021,Handbook of Carbon-Based Nanomaterials,,,,517,549,32,6,10.1016/B978-0-12-821996-6.00001-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128020759&doi=10.1016%2fB978-0-12-821996-6.00001-4&partnerID=40&md5=2453436395c4d57d9aa9c4dce66212f3,2D materials; Energy storage devices; Exfoliation; Graphene; Graphene oxide; Graphite; Reduced graphene oxide,Book chapter,Final,,Scopus,2-s2.0-85128020759,"2d materials, energy storage devices, exfoliation, graphene, graphene oxide, graphite, reduced graphene oxide",Others
Sakthivel S.; Akash R.R.K.; Sidarth S.B.; Ganesh K.C.,"Sakthivel, S. (59783647700); Akash, Ram R K (57221952307); Sidarth, Sai B (57194412804); Ganesh, Kumar C (57140321100)",59783647700; 57221952307; 57194412804; 57140321100,Blur Classification and Estimation of Motion Blur Parameters Using OLR,2022,"Proceedings of the 2022 International Conference on Electronic Systems and Intelligent Computing, ICESIC 2022",,,,323,328,5,2,10.1109/ICESIC53714.2022.9783566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133248552&doi=10.1109%2fICESIC53714.2022.9783566&partnerID=40&md5=cc881d8f994f386ca0d79fabc0098aca,Blur classification; Linear Regression; Motion blur; Parameter Estimation; Radon Transform; Underwater Image Processing,Conference paper,Final,,Scopus,2-s2.0-85133248552,"blur classification, linear regression, motion blur, parameter estimation, radon transform, underwater image processing",Machine Learning
Kshetry R.L.; Gupta A.; Chattopadhyaya S.; Srivastava M.; Sharma S.; Singh J.; Gupta A.D.; Rajkumar S.,"Kshetry, Rohan Lal (57365603300); Gupta, Arnab (57559481300); Chattopadhyaya, Somnath (24070120200); Srivastava, Madhulika (57190435780); Sharma, Shubham (57211422917); Singh, Jujhar (57226896725); Gupta, Anirban Das (57560580100); Rajkumar, S. (57211668412)",57365603300; 57559481300; 24070120200; 57190435780; 57211422917; 57226896725; 57560580100; 57211668412,"Design and Analysis of a Low-Cost Electronically Controlled Mobile Ventilator, Incorporating Mechanized AMBU Bag, for Patients during COVID-19 Pandemic",2022,Journal of Healthcare Engineering,2022,,6436818,,,,5,10.1155/2022/6436818,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127469708&doi=10.1155%2f2022%2f6436818&partnerID=40&md5=28bbcbe06584eebf6c241d8fc5642615,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85127469708,,Others
Thangarasu D.; Thipparaju R.R.; Palaniswamy S.K.; Kanagasabai M.; Alsath M.G.N.; Potti D.; Kumar S.,"Thangarasu, Deepa (57202509855); Thipparaju, Rama Rao (35073094200); Palaniswamy, Sandeep Kumar (56158830800); Kanagasabai, Malathi (55511179300); Alsath, Mohammed Gulam Nabi (54580566800); Potti, Devisowjanya (57215427792); Kumar, Sachin (56907994000)",57202509855; 35073094200; 56158830800; 55511179300; 54580566800; 57215427792; 56907994000,On the Design and Performance Analysis of Flexible Planar Monopole Ultra-Wideband Antennas for Wearable Wireless Applications,2022,International Journal of Antennas and Propagation,2022,,5049173,,,,19,10.1155/2022/5049173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139727774&doi=10.1155%2f2022%2f5049173&partnerID=40&md5=3efe262d106c27e247287b861be75680,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85139727774,,Others
Srivastava M.; Nag A.; Chattopadhyaya S.; Hloch S.,"Srivastava, Madhulika (57190435780); Nag, Akash (57194332916); Chattopadhyaya, Somnath (24070120200); Hloch, Sergej (16238442800)",57190435780; 57194332916; 24070120200; 16238442800,Standoff distance in ultrasonic pulsating water jet,2021,Materials,14,1,88,1,18,17,17,10.3390/ma14010088,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098848559&doi=10.3390%2fma14010088&partnerID=40&md5=f743772663dae3383c0e9849787e5f89,Disintegration depth; Pulsating water jet; Stainless steel; Traverse speed,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85098848559,"disintegration depth, pulsating water jet, stainless steel, traverse speed",Others
Kumar R.P.; Vignesh T.; Venkateswarulu B.V.; Sivakumar R.,"Kumar, R. Prasanna (58196810600); Vignesh, T. (36464321600); Venkateswarulu, Balaji Vijayan (57216163058); Sivakumar, R. (54885471100)",58196810600; 36464321600; 57216163058; 54885471100,Analogous Particle Swarm Optimization for Choosing Optimal Selection of Virtual Machine in Cloud,2022,"2022 International Conference on Computer Communication and Informatics, ICCCI 2022",,,,,,,0,10.1109/ICCCI54379.2022.9741065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128784595&doi=10.1109%2fICCCI54379.2022.9741065&partnerID=40&md5=430c04a53bb60ef51394d322ce3531e7,Genetic algorithm; Healthcare Services; Intelligent system; Particle Swarm Optimization; virtual machine,Conference paper,Final,,Scopus,2-s2.0-85128784595,"genetic algorithm, healthcare services, intelligent system, particle swarm optimization, virtual machine",Mechanical Engineering
Aishwarya N.; Bennilathangammal C.; Praveena N.G.,"Aishwarya, N. (36808965900); Bennilathangammal, C. (56175435100); Praveena, N.G. (56453234400)",36808965900; 56175435100; 56453234400,NSCT and focus measure optimization based multi-focus image fusion,2021,Journal of Intelligent and Fuzzy Systems,41,1,,903,915,12,7,10.3233/JIFS-202803,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113225805&doi=10.3233%2fJIFS-202803&partnerID=40&md5=09a87081d76ef70f76b2b40d49d2f5ff,decision map; focus measure; Image fusion; multi-focus; NSCT,Article,Final,,Scopus,2-s2.0-85113225805,"decision map, focus measure, image fusion, multi-focus, nsct",Mechanical Engineering
Dharminder D.; Das A.K.; Saha S.; Bera B.; Vasilakos A.V.,"Dharminder, Dharminder (57210165312); Das, Ashok Kumar (55450732800); Saha, Sourav (57207760870); Bera, Basudeb (57214777647); Vasilakos, Athanasios V. (57200495061)",57210165312; 55450732800; 57207760870; 57214777647; 57200495061,Post-Quantum Secure Identity-Based Encryption Scheme using Random Integer Lattices for IoT-enabled AI Applications,2022,Security and Communication Networks,2022,,5498058,,,,7,10.1155/2022/5498058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134482324&doi=10.1155%2f2022%2f5498058&partnerID=40&md5=7a2ed3c2bb8033408a8ffb3bd2a6faa1,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85134482324,,Others
Muthulakshmi M.; Kavitha G.; Aishwarya N.,"Muthulakshmi, M. (57201588260); Kavitha, G. (56702473500); Aishwarya, N. (36808965900)",57201588260; 56702473500; 36808965900,Multi-Objective Butterfly Optimization for Feature and classifier parameter's selection in Diagnosis of Heart Failure types Using CMR images,2022,"2022 IEEE Global Conference on Computing, Power and Communication Technologies, GlobConPT 2022",,,,,,,6,10.1109/GlobConPT57482.2022.9938325,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142906035&doi=10.1109%2fGlobConPT57482.2022.9938325&partnerID=40&md5=ddd4457abe4f236d58323c02292e35f7,Butterfly optimization algorithm; cardiovascular magnetic resonance; heart failure; support vector machine; texture features,Conference paper,Final,,Scopus,2-s2.0-85142906035,"butterfly optimization algorithm, cardiovascular magnetic resonance, heart failure, support vector machine, texture features",Mechanical Engineering
Jamunadevi C.; Ragupathy P.; Sritha P.; Pandikumar S.; Deepa S.,"Jamunadevi, C. (37090720500); Ragupathy, P. (57212173243); Sritha, P. (57207946338); Pandikumar, S. (57210946132); Deepa, S. (57213695805)",37090720500; 57212173243; 57207946338; 57210946132; 57213695805,Performance Analysis of Random Forest Classifier in Extracting Features from the EEG signal,2022,"2022 International Conference on Advanced Computing Technologies and Applications, ICACTA 2022",,,,,,,2,10.1109/ICACTA54488.2022.9753364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129214665&doi=10.1109%2fICACTA54488.2022.9753364&partnerID=40&md5=76528c12133834fbe8af0dc293e0a646,CNN; EEG seizure; Electroencephalogram; Random Forest,Conference paper,Final,,Scopus,2-s2.0-85129214665,"cnn, eeg seizure, electroencephalogram, random forest",AI
Suthan R.; Jayakumar V.; Gokuldass R.,"Suthan, R. (57190062603); Jayakumar, V. (36548490500); Gokuldass, R. (57205354398)",57190062603; 36548490500; 57205354398,"Role of Silicon Coupling Grafted Natural Fillers on Visco-Elastic, Tensile-Fatigue and Water Absorption Behavior of Epoxy Resin Composite",2021,Silicon,13,4,,1199,1207,8,10,10.1007/s12633-020-00508-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085885711&doi=10.1007%2fs12633-020-00508-z&partnerID=40&md5=177f787837838edd8fb860262c9d78d0,Fatigue and water absorption; Natural fillers; PMC; Siliconization; Visco-elastic properties,Article,Final,,Scopus,2-s2.0-85085885711,"fatigue and water absorption, natural fillers, pmc, siliconization, visco-elastic properties",Materials Science
Bharatula S.; Murthy B.S.,"Bharatula, Sitadevi (57188646208); Murthy, B.S. (57214916741)",57188646208; 57214916741,A Novel Spectrum Sensing Technique for Multiple Network Scenario,2022,Lecture Notes in Networks and Systems,435,,,97,108,11,2,10.1007/978-981-19-0976-4_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130265582&doi=10.1007%2f978-981-19-0976-4_9&partnerID=40&md5=9700a0d9b15f90ccfe08fd0e8c2977a1,Cognitive radio; Energy detection; Primary user; Secondary user; Spectrum sensing,Conference paper,Final,,Scopus,2-s2.0-85130265582,"cognitive radio, energy detection, primary user, secondary user, spectrum sensing",Others
Raja G.; Anbalagan S.; Vijayaraghavan G.; Theerthagiri S.; Suryanarayan S.V.; Wu X.-W.,"Raja, Gunasekaran (24824293300); Anbalagan, Sudha (57193726056); Vijayaraghavan, Geetha (57220184122); Theerthagiri, Sudhakar (57211076842); Suryanarayan, Saran Vaitangarukav (57220176619); Wu, Xin-Wen (7407063774)",24824293300; 57193726056; 57220184122; 57211076842; 57220176619; 7407063774,SP-CIDS: Secure and Private Collaborative IDS for VANETs,2021,IEEE Transactions on Intelligent Transportation Systems,22,7,9269477,4385,4393,8,43,10.1109/TITS.2020.3036071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097149951&doi=10.1109%2fTITS.2020.3036071&partnerID=40&md5=a4c3a24d735f5785981d9574b8cfea08,ADMM; CIDS; differential privacy; distributed machine learning; ITS; privacy-preserving,Article,Final,,Scopus,2-s2.0-85097149951,"admm, cids, differential privacy, distributed machine learning, its, privacy-preserving",Machine Learning
Sarathchandran C.,"Sarathchandran, C. (56282558700)",56282558700,Preface,2019,"Rheology of Polymer Blends and Nanocomposites: Theory, Modelling and Applications",,,,xvii,,,0,10.1016/B978-0-12-816957-5.05001-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084708993&doi=10.1016%2fB978-0-12-816957-5.05001-1&partnerID=40&md5=9e7496711420f4b49e133c851c75375e,,Editorial,Final,,Scopus,2-s2.0-85084708993,,Others
Sarathchandran C.; Ziang L.; Shanks R.A.; Chan C.H.; Sekkar V.; Thomas S.,"Sarathchandran, C. (56282558700); Ziang, Li (57212080843); Shanks, Robert A. (35567552200); Chan, C.H. (27168053400); Sekkar, V. (6602078609); Thomas, Sabu (7404654376)",56282558700; 57212080843; 35567552200; 27168053400; 6602078609; 7404654376,"Crystallization kinetics, morphology and spherulite growth in poly(trimethylene terephthalate) modified with bisphenol-A diglycidyl ether",2020,Journal of Thermal Analysis and Calorimetry,141,2,,727,737,10,1,10.1007/s10973-019-09047-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075901625&doi=10.1007%2fs10973-019-09047-1&partnerID=40&md5=4eab6a892846daeffaa685ecf68bbe9a,Avrami model; Crystallization kinetics; Dynamic asymmetry in polymer blends; Morphology development,Article,Final,,Scopus,2-s2.0-85075901625,"avrami model, crystallization kinetics, dynamic asymmetry in polymer blends, morphology development",Others
Ajith A.; Manitha P.V.; Ilango K.,"Ajith, Athira (59167633300); Manitha, P.V. (55552819800); Ilango, K. (37032616600)",59167633300; 55552819800; 37032616600,Implementation of Three-Phase Shunt Active Filter Using Instantaneous Real Power Calculation and Triangular Carrier Current Control,2020,Lecture Notes in Electrical Engineering,626,,,13,26,13,5,10.1007/978-981-15-2256-7_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083314999&doi=10.1007%2f978-981-15-2256-7_2&partnerID=40&md5=efc20e341114c11ada0128109b299a1a,Control strategy; Harmonics elimination; Real power calculation; Shunt active filter; VSI,Conference paper,Final,,Scopus,2-s2.0-85083314999,"control strategy, harmonics elimination, real power calculation, shunt active filter, vsi",Others
Ravindiran M.; Shankar P.,"Ravindiran, M. (56027060900); Shankar, P. (7102168508)",56027060900; 7102168508,"Synthesis and characterization of (Al, Co) co-doped ZnO for electronic applications",2017,Journal of Materials Science: Materials in Electronics,28,5,,4229,4238,9,6,10.1007/s10854-016-6045-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995741488&doi=10.1007%2fs10854-016-6045-5&partnerID=40&md5=c3d6cfe43f8bf80d8b9ff5047f026a01,,Article,Final,,Scopus,2-s2.0-84995741488,,Others
Ramesh Babu K.; Jayakumar V.; Bharathiraja G.; Madhu S.,"Ramesh Babu, K. (57216653936); Jayakumar, V. (36548490500); Bharathiraja, G. (56123171000); Madhu, S. (56319147000)",57216653936; 36548490500; 56123171000; 56319147000,Experimental investigation of fish scale reinforced polymer composite,2020,Materials Today: Proceedings,22,,,416,418,2,22,10.1016/j.matpr.2019.07.594,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084219010&doi=10.1016%2fj.matpr.2019.07.594&partnerID=40&md5=842e8d332f4aa995af009074afe4d5d5,Bio-filler; Epoxy; Fish scale; Mechanical tests; Polymer composite,Conference paper,Final,,Scopus,2-s2.0-85084219010,"bio-filler, epoxy, fish scale, mechanical tests, polymer composite",Materials Science
Labesh Kumar C.; Jayakumar V.; Bharathiraja G.,"Labesh Kumar, C. (57286959000); Jayakumar, V. (36548490500); Bharathiraja, G. (56123171000)",57286959000; 36548490500; 56123171000,Optimization of welding parameters for friction stir spot welding of AA6062 with similar and dissimilar thicknesses,2019,Materials Today: Proceedings,19,,,251,255,4,16,10.1016/j.matpr.2019.07.204,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077317870&doi=10.1016%2fj.matpr.2019.07.204&partnerID=40&md5=e75580c7d98731fc98a484f2301ea00e,AA6062; FSSW; Optimization; Similar and dissimilar thicknesses; Taguchi method,Conference paper,Final,,Scopus,2-s2.0-85077317870,"aa6062, fssw, optimization, similar and dissimilar thicknesses, taguchi method",Mechanical Engineering
Naga Kiran S.D.; Jayakumar V.; Madhu S.,"Naga Kiran, S.D. (57211265329); Jayakumar, V. (36548490500); Madhu, S. (56319147000)",57211265329; 36548490500; 56319147000,Evaluation of Mechanical Characterization of CFRP Reinforced Stainless Steel (SS304) Wire Mesh Polymer Composite,2019,IOP Conference Series: Materials Science and Engineering,574,1,12024,,,,2,10.1088/1757-899X/574/1/012024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073245971&doi=10.1088%2f1757-899X%2f574%2f1%2f012024&partnerID=40&md5=b61582bb67b7475f827fa0746d75c6c0,Carbon fibre reinforced polymer; DMA; Epoxy Resin; Flexural; SS304 wire mesh; Tensile,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85073245971,"carbon fibre reinforced polymer, dma, epoxy resin, flexural, ss304 wire mesh, tensile",Materials Science
Asif A.H.; Jayakumar V.; Virinchy C.S.; Shanmuganandam K.,"Asif, Abdul Hafeez (57209276313); Jayakumar, V. (36548490500); Virinchy, Chintala Sai (57209276750); Shanmuganandam, K. (56633560600)",57209276313; 36548490500; 57209276750; 56633560600,"Effect of Mg, SiC and Fly ash particulates in aluminium alloy for automotive wheel rim applications",2018,International Journal of Vehicle Structures and Systems,10,6,,420,422,2,0,10.4273/ijvss.10.6.10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062097741&doi=10.4273%2fijvss.10.6.10&partnerID=40&md5=80edcf79e7a7f55d9611079ca207d41c,Alloy wheels; Aluminium metal matrix composite; Finite element analysis; Mechanical testing,Article,Final,,Scopus,2-s2.0-85062097741,"alloy wheels, aluminium metal matrix composite, finite element analysis, mechanical testing",Others
Zhang T.; Chen D.; Liu J.; Xu B.; Venkateshkumar M.,"Zhang, Tianyao (57221984186); Chen, Diyi (36241217400); Liu, Jing (57205104666); Xu, Beibei (56404883600); Venkateshkumar, M. (36635046600)",57221984186; 36241217400; 57205104666; 56404883600; 36635046600,A feasibility analysis of controlling a hybrid power system over short time intervals,2020,Energies,13,21,5682,,,,3,10.3390/en13215682,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100854741&doi=10.3390%2fen13215682&partnerID=40&md5=dfcbea0be72b07569ea953c9cd53f2e1,Hybrid system; Hydro regulation; Short time interval; Solar radiation fluctuation; Wind speed fluctuation,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85100854741,"hybrid system, hydro regulation, short time interval, solar radiation fluctuation, wind speed fluctuation",Medical AI
Haja Syeddu Masooth P.; Jayakumar V.; Bharathiraja G.,"Haja Syeddu Masooth, P. (57216657561); Jayakumar, V. (36548490500); Bharathiraja, G. (56123171000)",57216657561; 36548490500; 56123171000,Experimental investigation on surface roughness in CNC end milling process by uncoated and TiAlN coated carbide end mill under dry conditions,2020,Materials Today: Proceedings,22,,,726,736,10,31,10.1016/j.matpr.2019.10.036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077632051&doi=10.1016%2fj.matpr.2019.10.036&partnerID=40&md5=c56d80ae8d74f1ead93cb6b6b2bf54bd,1 End milling; ANOVA; Machining parameters; Surface roughness; TiAlN coated tool,Conference paper,Final,,Scopus,2-s2.0-85077632051,"1 end milling, anova, machining parameters, surface roughness, tialn coated tool",Others
